category,name,brand,stock_status,cost_usd,sale_usd,sale_tl_at_47_20
Panel,12W POLİKRİSTAL GÜNEŞ PANELİ,LEXRON,in_stock,12.84,15.66,739.38
Panel,25W POLİKRİSTAL GÜNEŞ PANELİ,LEXRON,in_stock,20.85,25.44,1200.63
Panel,350W POLYKRISTAL GÜNEŞ PANELİ,LEXRON,in_stock,88.85,108.4,5116.34
Panel,350W ECOSOL POLYKRISTAL GÜNEŞ PANELİ,LEXRON,in_stock,74.95,91.44,4315.92
Panel,55W MONOKRİSTAL GÜNEŞ PANELİ,LEXRON,in_stock,39.89,48.67,2297.03
Panel,ECOSOL 160W MONOKRİSTAL GÜNEŞ PANELİ 5BB A-,ECOSOL,in_stock,63.83,77.87,3675.59
Panel,285W 16BB HALF-CUT TOPCON MONO GÜNEŞ PANELİ -KARAVAN ÖZEL ÜRETİM,LEXRON,in_stock,103.36,126.1,5951.88
Panel,175W HALF-CUT TOPCON MONO GÜNEŞ PANELİ,LEXRON,in_stock,71.93,87.75,4142.02
Panel,140W HALF-CUT TOPCON MONO GÜNEŞ PANELİ,LEXRON,in_stock,59.24,72.27,3411.28
Panel,240W 48 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,94.29,115.03,5429.6
Panel,160W 32 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,67.7,82.59,3898.44
Panel,390W 78 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,115.51,140.92,6651.53
Panel,450W BIFACIAL 78 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,125.73,153.39,7240.04
Panel,750W BIFACIAL 132 CELL 16BB HALF-CUT TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,181.33,221.22,10441.71
Panel,655W 132 CELL 16BB HALF-CUT TOPCON 16BB GÜNEŞ PANELİ,LEXRON,in_stock,174.2,212.52,10031.13
Panel,220W 16BB ETFE 210R ESNEK TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,478.72,584.04,27566.61
Panel,195W 16BB ETFE ESNEK TOPCON GÜNEŞ PANELİ (ECOSOL),ECOSOL,in_stock,365.39,445.78,21040.62
Panel,195W 16BB ETFE ESNEK TOPCON GÜNEŞ PANELİ,LEXRON,in_stock,424.32,517.67,24434.04
İnverter,2000W-24V MODİFİYE SİNÜS İNVERTER,LEXRON,in_stock,106.38,129.78,6125.79
İnverter,25KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,3614.61,4409.82,208143.7
İnverter,16KW HİBRİT MONOFAZE İNVERTER LV,DEYE,in_stock,3082.69,3760.88,177513.62
İnverter,80KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,8522.73,10397.73,490772.88
İnverter,60KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,7857.84,9586.56,452485.86
İnverter,40KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,6250.0,7625.0,359900.0
İnverter,8KW HİBRİT MONOFAZE İNVERTER LV,DEYE,in_stock,1752.9,2138.54,100938.99
İnverter,8KW HİBRİT TRİFAZE İNVERTER LV,DEYE,in_stock,2411.75,2942.34,138878.21
İnverter,10KW HİBRİT MONOFAZE İNVERTER LV,DEYE,in_stock,2272.73,2772.73,130872.88
İnverter,50KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,7241.3,8834.39,416983.02
İnverter,30KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,4533.37,5530.71,261049.58
İnverter,20KW HİBRİT TRİFAZE İNVERTER HV,DEYE,in_stock,2720.02,3318.42,156629.63
İnverter,15KW HİBRİT TRİFAZE İNVERTER LV,DEYE,in_stock,3016.2,3679.76,173684.86
İnverter,20KW HİBRİT TRİFAZE İNVERTER LV,DEYE,in_stock,3989.36,4867.02,229723.31
İnverter,12KW HİBRİT TRİFAZE İNVERTER LV,DEYE,in_stock,2478.24,3023.45,142706.97
İnverter,5KW HİBRİT MONOFAZE İNVERTER LV,DEYE,in_stock,1160.54,1415.86,66828.54
İnverter,11KW HV 2XMPPT AKILLI INVERTER 48V,LEXRON,in_stock,707.21,862.8,40723.98
İnverter,8KW HV MPPT AKILLI İNVERTER 48V,LEXRON,in_stock,544.0,663.68,31325.7
İnverter,4.2KW HV MPPT AKILLI INVERTER 24V,LEXRON,in_stock,290.14,353.97,16707.42
İnverter,6.2KW HV MPPT AKILLI İNVERTER 48V,LEXRON,in_stock,338.49,412.96,19491.61
İnverter,3KW HV MPPT AKILLI İNVERTER 24V,LEXRON,in_stock,193.42,235.97,11137.9
İnverter,100KW ON-GRİD TRİFAZE İNVERTER,DEYE,in_stock,4170.7,5088.25,240165.59
Akü Batarya,100AH 12.8V LİTYUM BATARYA,LEXRON,in_stock,344.54,420.34,19839.99
Akü Batarya,100AH 25.6V LİTYUM BATARYA,LEXRON,in_stock,574.23,700.56,33066.46
Akü Batarya,100AH 48V LİTYUM BATARYA,LEXRON,in_stock,876.45,1069.27,50469.5
Akü Batarya,100AH 51.2V PREMİUM SERİSİ (DUVAR TİPİ) LİTYUM BATARYA,LEXRON,in_stock,1081.96,1319.99,62303.58
Akü Batarya,200AH 25.6V LİTYUM BATARYA,LEXRON,in_stock,955.03,1165.14,54994.45
Akü Batarya,314AH 51.2V PREMİUM SERİSİ LİTYUM BATARYA,LEXRON,in_stock,3143.14,3834.63,180994.57
Akü Batarya,EVE 61.44kWh LİTYUM HV (YÜKSEK VOLTAJ) BATARYA SİSTEMİ,EVE,in_stock,15171.67,18509.44,873645.45
Akü Batarya,EVE 20.48kWh LİTYUM HV (YÜKSEK VOLTAJ) BATARYA SİSTEMİ,EVE,in_stock,6648.94,8111.71,382872.56
Akü Batarya,100AH 51.2V PREMİUM SERİSİ LİTYUM BATARYA,LEXRON,in_stock,1027.56,1253.62,59171.02
Akü Batarya,200AH 12.8V LİTYUM BATARYA,LEXRON,in_stock,574.23,700.56,33066.46
Akü Batarya,15AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,27.8,33.92,1600.84
Akü Batarya,25AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,35.66,43.51,2053.45
Akü Batarya,43AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,73.74,89.96,4246.24
Akü Batarya,70AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,108.2,132.0,6230.59
Akü Batarya,7AH-12V AGM AKÜ,LEXRON,in_stock,9.07,11.07,522.29
Akü Batarya,7.2AH-12V AGM AKÜ,LEXRON,in_stock,10.88,13.27,626.51
Akü Batarya,12AH-12V AGM AKÜ,LEXRON,in_stock,16.32,19.91,939.77
Akü Batarya,105AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,157.16,191.74,9049.9
Akü Batarya,160AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,235.74,287.6,13574.85
Akü Batarya,210AH-12V NANO-KARBON JEL AKÜ,LEXRON,in_stock,314.31,383.46,18099.23
Akü Batarya,EVE 40.96kWh LİTYUM HV (YÜKSEK VOLTAJ) BATARYA SİSTEMİ,EVE,out_of_stock,10517.42,12831.25,605635.11
Akü Batarya,9AH-12V AGM AKÜ,LEXRON,out_of_stock,15.11,18.43,870.09
Şarj Kontrol,10A PWM ŞARJ KONTROL CİHAZI,LEXRON,in_stock,6.23,7.6,358.75
Şarj Kontrol,20A PWM ŞARJ KONTROL CİHAZI,LEXRON,in_stock,9.67,11.8,556.84
Şarj Kontrol,30A PWM ŞARJ KONTROL CİHAZI,LEXRON,in_stock,12.21,14.9,703.1
Şarj Kontrol,40A PWM ŞARJ KONTROL CİHAZI,LEXRON,in_stock,15.72,19.18,905.22
Şarj Kontrol,60A PWM ŞARJ KONTROL CİHAZI,LEXRON,in_stock,32.64,39.82,1879.54
Şarj Kontrol,20A MPPT ŞARJ KONTROL CİHAZI,LEXRON,in_stock,42.31,51.62,2436.38
Şarj Kontrol,30A MPPT ŞARJ KONTROL CİHAZI,LEXRON,in_stock,51.98,63.42,2993.22
Şarj Kontrol,40A MPPT ŞARJ KONTROL CİHAZI,LEXRON,in_stock,56.82,69.32,3271.92
Şarj Kontrol,80A HV(15~230V) MPPT ŞARJ KONTROL CİHAZI,LEXRON,in_stock,151.11,184.35,8701.52
Şarj Kontrol,80A MPPT ŞARJ KONTROL CİHAZI,LEXRON,out_of_stock,151.11,184.35,8701.52
Solar Pompa,GPRS KİT,,in_stock,217.6,265.47,12530.28
Solar Pompa,DC SIGORTA 1000V 30A,LEXRON,in_stock,9.67,11.8,556.84
Solar Pompa,5.5HP 4kW (3x220V) SOLAR POMPA INVERTERİ,LEXRON,in_stock,265.96,324.47,15315.04
Solar Pompa,210HP 160KW SOLAR POMPA INVERTERİ (YENİ NESİL),LEXRON,in_stock,4775.15,5825.68,274972.24
Solar Pompa,180HP 132KW SOLAR POMPA INVERTERİ (YENİ NESİL),LEXRON,in_stock,4231.14,5161.99,243645.97
Solar Pompa,150HP 110KW SOLAR POMPA INVERTERİ (YENİ NESİL),LEXRON,in_stock,2780.47,3392.17,160110.58
Solar Pompa,120HP 90KW SOLAR POMPA INVERTERİ (YENİ NESİL),LEXRON,in_stock,2599.13,3170.94,149668.3
Solar Pompa,60HP 45KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,1571.57,1917.32,90497.29
Solar Pompa,DC SIGORTA 1000V 15A,LEXRON,in_stock,7.13,8.7,410.57
Solar Pompa,3HP 2.2kW (3x220V) SOLAR POMPA INVERTERİ,LEXRON,in_stock,139.02,169.6,8005.33
Solar Pompa,3HP 2.2KW (380V) SOLAR POMPA INVERTERİ,LEXRON,in_stock,145.07,176.99,8353.71
Solar Pompa,5.5HP 4KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,199.47,243.35,11486.28
Solar Pompa,7.5HP 5.5KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,239.36,292.02,13783.31
Solar Pompa,10HP 7.5KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,284.09,346.59,16359.04
Solar Pompa,15HP 11KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,423.11,516.19,24364.37
Solar Pompa,20HP 15KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,477.51,582.56,27496.94
Solar Pompa,25HP 18.5KWSOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,598.4,730.05,34458.27
Solar Pompa,30HP 22KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,785.78,958.65,45248.36
Solar Pompa,40HP 30KW SOLAR POMPA INVERTER (YENİ NESİL),LEXRON,in_stock,961.07,1172.51,55342.25
Solar Pompa,50HP 38KW SOLAR POMPA INVERTER (YENİ NESİL),SMART,in_stock,1184.72,1445.36,68220.92
Solar Pompa,75HP 55KW SOLAR POMPA INVERTER (YENİ NESİL),SMART,in_stock,1692.46,2064.8,97458.62
Solar Pompa,100HP 75KW SOLAR POMPA INVERTER (YENİ NESİL),SMART,in_stock,1994.68,2433.51,114861.65
Aydınlatma,500W SOLAR AYDINLATMA,LEXRON,in_stock,42.31,51.62,2436.38
Aydınlatma,2400W SOLAR AYDINLATMA,LEXRON,in_stock,102.76,125.37,5917.33
Aydınlatma,1200W SOLAR AYDINLATMA,LEXRON,in_stock,66.49,81.12,3828.76
Aydınlatma,400W SOLAR PROJEKTÖR,LEXRON,in_stock,36.27,44.25,2088.57
Aydınlatma,200W SOLAR PROJEKTÖR,LEXRON,in_stock,30.22,36.87,1740.19
Aydınlatma,700W SOLAR AYDINLATMA,LEXRON,in_stock,48.36,59.0,2784.76
Kablo Konnektör,MC4 KONNEKTÖR -1500V,,in_stock,0.79,0.96,45.49
Kablo Konnektör,2Lİ T BRANCH,,in_stock,3.38,4.12,194.63
Kablo Konnektör,3LÜ BRANCH,,in_stock,4.84,5.9,278.71
Kablo Konnektör,ORTA TUTUCU,,in_stock,0.83,1.01,47.79
Kablo Konnektör,SONLANDIRICI,,in_stock,0.83,1.01,47.79
Kablo Konnektör,DC SIGORTA 1000V 30A,LEXRON,in_stock,9.67,11.8,556.84
Kablo Konnektör,DC SIGORTA 1000V 15A,LEXRON,in_stock,7.13,8.7,410.57
Kablo Konnektör,6mm2 SOLAR KABLO,,in_stock,1.69,2.06,97.32
